App no.	RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ	DATE REQUEST	DATE INVOICE REC.	Paid
WT 13-14 045	Professor Peter St George Hyslop	Cambridge Institute for Medical Research	Elsevier	Structure	Structural interactions between inhibitor and substrate docking sites give insight into mechanisms of human PS1 complexes	SD800206	£3,360.79	04-Dec-13	09-Dec-13	y
WT 13-14 046	Professor Daniel St Johnston	The Gurdon Institute	Company of Biologists	Biology Open	Damage to the Drosophila follicle cell epithelium produces 'falseclones' with apparent polarity phenotypes	PR 799629	£1,044.00	04-Dec-13	04-Dec-13	y
WT 13-14 047	Dr Markus Ralser	Biochemistry	F1000Research	F1000Research	The beauty of being (label)-free: sample preparation methods for SWATH-MS and next-generation targeted proteomics	PH 811687	£476.72	04-Dec-13	26-Feb-14	y
WT 13-14 048	Dr Tobias Janowitz	Oncology	Public Library of Science	PLoS One	Cross-sectional analysis of data from the U.S. Clinical Trials database reveals poor translational clinical trial effort for traumatic brain injury, compared with stroke	RC 802639	£825.64	13-Dec-13	21-Jan-14	y
WT 13-14 049	Dr Andrew Firth	Pathology	Elsevier	Virology	Orsay virus utilizes ribosomal frameshifting to express a novel protein that is incorporated into virions	PK 805778	£1,079.34	16-Dec-13	27-Jan-14	y
WT 13-14 050	Professor Jane Clark	Chemistry	Elsevier	Current Opinion in Structural Biology	"??? Chasing Department ""Take-home lessons from studies of related proteins"""	MA 804974	£2,222.22	18-Dec-13	17-Jan-14	y
WT 13-14 051	Professor Jane Clark	Chemistry	Wiley	FEBS Journal	Understanding pathogenic single nucleotide polymorphisms in multidomain proteins - studies of isolated domains are not enough	MA 804974	£2,022.45	18-Dec-13	17-Jan-14	y
WT 13-14 052	Professor Jane Clark	Chemistry	American Chemical Society	Journal of the American Chemical Society	A mechanistic model for amorphous protein aggregation of immunoglobulin-like domains	MA 804974	£661.42	18-Dec-13	17-Jan-14	y
WT 13-14 053	Professor Jane Clark	Chemistry	American Chemical Society	Journal of the American Chemical Society	Folding and binding of an intrinsically disordered protein: fast, but not 'diffusion-limited'	MA 804974	£661.42	18-Dec-13	17-Jan-14	y
WT 13-14 054	Professor Chris Smith	Biochemistry	BioMed Central	BMC Molecular Biology	Dissecting domains necessary for activation and repression of splicing by muscleblind-like protein 1	PH 805169	£1,315.80	20-Dec-13	14-Jan-14	y
WT 13-14 055	Professor Bertie Gottgens	CIMR Haematology	The American Society of Haematology	Blood	Genome-scale expression and transcription factor binding profiles reveal therapeutic targets in transgenic ERG myeloid leukemia	SB 800232	£1,494.30	04-Dec-13	04-Dec-13	y
WT 13-14 056	Dr Sharon Morein-Zamir	Psychology	Elsevier	Psychiatry Research	The profile of executive function in OCD hoarders and hoarding disorder	PJ 810832	£1,545.35	20-Dec-13	21-Feb-14	y
WT 13-14 057	Professor Ole Paulsen	Physiology, Development and Neuroscience	Frontiers	Frontiers in Cellular Neuroscience	Frequency dependence of CA3 spike phase response arising from h-current properties	PM 806708	£964.26	30-Dec-13	27-Jan-14	y
WT 13-14 058	Dr Yevgeniy Goriyakin	Institute of Public Health	Elsevier	Economics and Human Biology	Economic development, urbanization, technological change and overweight: What do we learn from 244 Demographic and Health Surveys?	816443	£1,309.94	09-Jan-14	01-Apr-14	y
WT 13-14 059	Dr James Kirkbride	Psychiatry	Cambridge University Press	Psychological Medicine	The effect of the environment on symptom dimensions in the first episode of psychosis: a multilevel study	RN 826099	£1,965.00	10-Jan-14	11-Jun-14	y
WT 13-14 060	Dr David Huggins	Cavendish Laboratory	American Chemical Society	Journal of Chemical Theory and Computation	Thermodynamic properties of water molecules at a protein–protein interaction surface	KA 807857	£914.47	15-Jan-14	03-Feb-14	y
WT 13-14 061	Dr Stephen Burgess	Public Health and Primary Care	Oxford University Press	International Journal of Epidemiology	Sample size and power calculations in Mendelian randomization with a single instrumental variable and a binary outcome	RH 805868	£2,400.00	16-Jan-14	21-Jan-14	y
WT 13-14 062	Central Library	Central Library		Nucleic Acids Research	Nucleic acids research subscription	VG 803453	£2,832.07	01-Oct-13	17-Jan-14	y
WT 13-14 063	Dr Shona Wilson	Pathology	Oxford University Press	Journal of Infectious Diseases	Post-treatment changes in cytokines induced by Schistosoma mansoni egg and worm antigens: dissociation of immunity and morbidity associated with type-2 responses	PK 812019	£2,625.60	13-Jan-14	26-Feb-14	y
WT 13-14 064	Professor John Trowsdale	Pathology	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	A novel family of human lymphocyte antigen class II receptors may have its origin in archaic human species	PK 805802	£1,466.00	17-Jan-14	27-Jan-14	y
WT 13-14 065	Dr Brian Huntly	CIMR	Nature Publishing Group	Leukemia	Recurrent mutations, including NPM1c, activate a BRD4-dependent core transcriptional program in AML	SB 806600	£3,480.00	27-Jan-14	27-Jan-14	y
WT 13-14 066	Professor Linda Wicker	CIMR Medical Genetics	Springer	Mammalian Genome	Fine mapping of type 1 diabetes regions Idd9.1 and Idd9.2 reveals genetic complexity	SE 806027	£2,259.69	27-Jan-14	27-Jan-14	y
WT 13-14 067	Dr Chris Wallace	CIMR Medical Genetics	Wiley	Genetic Epidemiology	Statistical testing of shared genetic control for potentially related traits	SE 806027	£2,242.85	27-Jan-14	27-Jan-14	y
WT 13-14 068	Professor John Todd	CIMR Medical Genetics	Springer	Diabetologia	Plasma concentrations of soluble IL-2 receptor alfa (CD25) are increased in type 1 diabetes and associated with reduced C-peptide levels in young patients	SE 806027	£2,179.85	27-Jan-14	27-Jan-14	y
WT 13-14 069	Professor Gillian Griffiths	CIMR Medical Genetics	Wiley	Immunological Reviews	The role of the cytoskeleton at the immunological synapse	SC 806045	£2,257.62	27-Jan-14	27-Jan-14	y
WT 13-14 070	Dr James Lee, Professor Ken Smith	CIMR Medical Genetics	Elsevier	Cell	Human SNP links differential outcome in inflammatory and infectious disease to a FOXO3-regulated pathway	SC 806045	£3,738.08	27-Jan-14	27-Jan-14	y
WT 13-14 071	Dr Harry Leitch	Stem Cell Institute	Elsevier	Developmental Biology	On the fate of primordial germ cells injected into early mouse embryos	PS 810652	£1,369.27	21-Jan-14	20-Feb-14	y
WT 13-14 072	Dr Harry Leitch	Stem Cell Institute	Elsevier	Trends in Cell Biology	Do all roads lead to Oct4? The emerging concepts of induced pluripotency	PS 810652	£2,282.12	21-Jan-14	20-Feb-14	y
WT 13-14 073	Esther Rind	Institute of Public Health	Elsevier	Social Science and Medicine	How is post-industrial decline associated with the geography of physical activity? Evidence from the Health Survey for England	817591	£2,224.00	21-Jan-14	10-Apr-14	y
WT 13-14 074	Dr Dawn Eagle	Psychology	Elsevier	Behavioural Brain Research	The dopamine D2/D3 receptor agonist quinpirole increases checking-like behaviour in an operant observing response task with uncertain reinforcement: A novel possible model of OCD	PJ 810833	£1,588.00	21-Jan-14	20-Feb-14	y
WT 13-14 075	Professor Christine Holt	Physiology, Development and Neuroscience	Public Library of Science	PLoS One	Protein synthesis dependence of growth cone collapse induced by different Nogo-A-domains	PM 808173	£990.76	24-Jan-14	06-Feb-14	y
WT 13-14 076	Dr Rebecca Flemming	Classics	The John Hopkins University Press	Bulletin of the History of Medicine	The invention of infertility in the Classical Greek world: medicine, divinity and gender	GE 809872	£1,838.24	24-Jan-14	24-Jan-14	y
WT 13-14 077	Prof Geoff Smith	Pathology	American Society for Microbiology	Journal of Virology	Vaccinia virus inhibits NF-?B-dependent gene expression downstream of P65 translation	PK 808757	£1,459.76	29-Jan-14	06-Feb-14	y
WT 13-14 078	Jesse Olszynko-Gryn	History and Philosophy of Science	Elsevier	Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	The demand for pregnancy testing: The Aschheim-Zondek reaction, diagnostic versatility, and laboratory services in 1930s Britain	JN 821579	£813.24	29-Jan-14	09-May-14	y
WT 13-14 079	Dr Daniel Davis	Public Health and Primary Care	Oxford University Press	Age and Ageing	Specialty experience in geriatric medicine is associated with a small increase in knowledge of delirium	RH 808359	£2,400.00	29-Jan-14	05-Mar-14	y
WT 13-14 080	Dr Daniel Davis	Public Health and Primary Care	Elsevier	Journal of the American Medical Directors Association	Delirium superimposed on dementia strongly predicts worse outcomes in older rehabilitation patients	RH 827876	£2,219.99	29-Jan-14	24-Jun-14	y
WT 13-14 081	Dr Randy J Read	CIMR Haematology	International Union of Crystallography	Acta Crystallographica Section D: Biological Crystallography	Likelihood-based molecular replacement solution for a highly pathological crystal with tetarohedral twinning and sevenfold translational noncrystallographic symmetry	SB 806895	£731.57	29-Jan-14	29-Jan-14	y
WT 13-14 082	Prof Azim Surani	Gurdon Institute	Elsevier	Stem Cell Reports	Synergistic mechanisms of DNA demethylation during transition to ground-state pluripotency	PR 807547	£2,212.66	29-Jan-14	29-Jan-14	y
WT 13-14 083	Prof Peter St George Hyslop	Cambridge Institute for Medical Research	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Extracellular Monomeric Tau is Sufficient to Initiate the Spread of Tau Pathology	VE 810188	£1,024.32	28-Jan-14	17-Feb-14	y
WT 13-14 084	Professor Nick Wareham	Institute of Public Health	BioMed Central	BMC Public Health	Children’s sedentary behaviour: descriptive epidemiology and associations with objectively measured sedentary time	VE 810188	£275.08	28-Jan-14	17-Feb-14	y
WT 13-14 085	Professor Nick Wareham	Institute of Public Health	BioMed Central	International Journal of Behavioral Nutrition and Physical Activity	Bedroom sedentary time and screen time in children: a longitudinal analysis	VE 810188	£311.83	28-Jan-14	17-Feb-14	y
WT 13-14 086	Professor Nick Wareham	Institute of Public Health	BioMed Central	BMC Public Health	How do couples influence each other’s physical activity behaviours in retirement? An exploratory qualitative study	VE 810188	£550.32	28-Jan-14	17-Feb-14	y
WT 13-14 087	Professor Nick Wareham	Institute of Public Health	BioMed Central	International Journal of Behavioral Nutrition and Physical Activity	Objectively measured activity in four-year old British children: a cross-sectional analysis of activity patterns segmented across the day	VE 810188	£285.30	28-Jan-14	17-Feb-14	y
WT 13-14 088	Dr Kirsten Corder	Institute of Public Health	BioMed Central	BMC Public Health	More of the same or a change of scenery? An observational study of variety and frequency of physical activity in British children	VE 810188	£550.32	28-Jan-14	17-Feb-14	y
WT 13-14 089	Miss Annalijn Conklin	Institute of Public Health	BioMed Central	BMC Public Health	Socioeconomic status financial hardship and measured obesity in older adults: a cross-sectional study of the EPI C-Norfolk cohort	VE 810188	£550.32	28-Jan-14	17-Feb-14	y
WT 13-14 090	Dr Kirsten Corder	Institute of Public Health	BMJ Publishing Group	British Journal of Sports Medicine	Change in objectively measured physical activity during the transition to adolescence	VE 810188	£234.00	28-Jan-14	17-Feb-14	y
WT 13-14 091	Dr David Ogilvie	Institute of Public Health	BMJ Publishing Group	Journal of Epidemiology and Community Health	Changes in household, transport and recreational physical activity and television viewing time across the transition to retirement: longitudinal evidence from the EPIC-Norfolk cohort	VE 810188	£948.11	28-Jan-14	17-Feb-14	y
WT 13-14 092	Dr Jenna Panter	Institute of Public Health	Elsevier	Preventative Medicine	Patterns and predictors of changes in active commuting over 12 months	VE 810188	£416.51	28-Jan-14	17-Feb-14	y
WT 13-14 093	Dr Elena Fumagalli	Institute of Public Health	Elsevier	The Journal of Socio-Economics	Do political factors matter in explaining under- and overweight outcomes in developing countries?	VE 810188	£530.02	28-Jan-14	17-Feb-14	y
WT 13-14 094	Dr Ragnhildur T. Káradóttir	Veterinary Medicine	Public Library of Science	PLoS Biology	Neuregulin and BDNF induce a switch to NMDA receptor dependent myelination by oligodendrocytes	VE 810188	£1,513.01	28-Jan-14	17-Feb-14	y
WT 13-14 095	Dr James Woodcock	Institute of Public Health	Springer	Climate Change	"The importance of health co-benefits in macroeconomic assessments of UK greenhouse Gas emission reduction
strategies
"	VE 810188	£894.91	28-Jan-14	17-Feb-14	y
WT 13-14 096	Dr David Huggins	Physics	Wiley	Journal of Computational Chemistry	Comparing distance metrics for rotation using the k-nearest neighbors algorithm for entropy estimation	VE 810188	£1,104.00	28-Jan-14	17-Feb-14	y
WT 13-14 097	Dr Barbara Blacklaws	Veterinary Medicine	Public Library of Science	PLoS One	Molecular characterization of poxviruses associated with tattoo skin lesions in UK cetaceans	PN 809629	£529.66	02-Jul-13	12-Feb-14	y
WT 13-14 098	Dr Nick Brown	Gurdon Institute	Elsevier	Developmental Cell	Filopodia-like actin cables position nuclei in association with perinuclear actin in Drosophila nurse cells	PR 809305	£3,738.08	12-Feb-14	12-Feb-14	y
WT 13-14 099	Dr Adrian Kelly	Pathology	Wiley	European Journal of Immunology	Recognition of Salmonella by Dectin-1 induces presentation of peptide antigen to type B T-cells	PK 810604	£2,194.19	12-Feb-14	20-Feb-14	y
WT 13-14 100	Dr Teresa Tiffert	Physiology, Development and Neuroscience	Springer	European Journal of Physiology	Dynamic morphology and cytoskeletal protein changes during spontaneous inside-out vesiculation of red blood cell membranes	PM 828563	£2,169.98	17-Feb-14	30-Jun-14	y
WT 13-14 101	Dr Anthony Khawaja	Public Health and Primary Care	Elsevier	Ophthalmology	Systemic medication and intraocular pressure in a British population: The EPIC-Norfolk Eye Study	SC 844671	£1,871.96	17-Feb-14	24-Oct-14	y
WT 13-14 102	Dr Andreea Cetateanu	Institute of Public Health	Elsevier	Health and Place	Understanding the relationship between food environments, deprivation and childhood overweight and obesity: Evidence from a cross sectional England-wide study	826106	£1,323.37	19-Feb-14	08-Sep-14	y
WT 13-14 103	Dr Jenny Nichols	Stem Cell Institute	Company of Biologists	Development	Oct4 is required for lineage priming in the developing inner cell mass of the mouse blastocyst	PS 814184	£2,400.00	20-Feb-14	19-Mar-14	y
WT 13-14 104	Dr Shona Wilson	Pathology	Wiley - Blackwell	Journal of Infectious Diseases	A late IL-33 response after exposure to Schistosoma haematobium antigen is associated with an up-regulation of IL-13 in human eosinophils	PK 812021	£2,179.18	26-Feb-14	28-Feb-14	y
WT 13-14 105	Professor Sir Tom Blundell	Biochemistry	Oxford University Press	Bioinformatics	mCSM: predicting the effects of mutations in proteins using graph-based signatures	PH 812078	£2,100.00	28-Feb-14	03-Mar-14	y
WT 13-14 106	Professor Bill Harris	Physiology, Development and Neuroscience	Company of Biologists	Development	A nutrient-sensitive restriction point is active during retinal progenitor cell differentiation	PM 812749	£2,400.00	28-Feb-14	06-Mar-14	y
WT 13-14 107	Professor Trevor Robbins	Psychology	Frontiers	Frontiers in Psychology	Obsessive-compulsive Disorder patients have a reduced sense of control on the illusion of control task	PJ 813042	£1,585.79	04-Mar-14	06-Mar-14	y
WT 13-14 108	Dr Tom Monie	Veterinary Medicine	BioMed Central	BMC Research Notes	The nucleotide-binding oligomerization domain-containing protein 1 (NOD1) polymorphism S7N does not affect receptor function	PN 812871	£789.30	04-Mar-14	06-Mar-14	y
WT 13-14 109	Dr Anthony Davenport	Clinical Pharmacology	Elsevier	Life Sciences	"Modulation of endothelin receptors in the failing right ventricle of the heart and vasculature of the lung in human pulmonary arterial hypertension
"	10534CV9	£2,216.97	05-Mar-14	18-Mar-14	y
WT 13-14 110	Professor Bill Harris	Physiology, Development and Neuroscience	Elsevier	Current Opinion in Neurobiology	Reconciling competence and transcriptional hierarchies with stochasticity in retinal lineages	PM 828597	£2,735.72	05-Mar-14	30-Jun-14	y
WT 13-14 111	Professor Andrea Brand	Physiology, Development and Neuroscience	Elsevier	Developmental Cell	Dedifferentiation of neurons precedes tumour formation in lola mutants	PR 812805	£3,631.96	06-Mar-14	06-Mar-14	y
WT 13-14 112	Professor Magdalena Zernicka-Goetz	Gurdon Institute	Elsevier	Cell	Self-organizing properties of mouse pluripotent cells initiate morphongenesis upon implantation	PR 813184	£3,668.94	10/314	10-Mar-14	y
WT 13-14 113	Dr Anthony Khawaja	Public Health and Primary Care	BMJ Publishing Group	BMJ Open	A new tool for converting food frequency questionnaire data into nutrient and food group values: FETA research methods and availability	RH 813636	£1,620.00	10-Mar-14	13-Mar-14	y
WT 13-14 114	Dr Andrew Firth	Pathology	Public Library of Science	PLoS One	Solenopsis invicta Virus 3: Mapping of Structural Proteins, Ribosomal Frameshifting, and Similarities to Acyrthosiphon pisum Virus and Kelp Fly Virus	PK 814091	£970.64	11-Mar-14	18-Mar-14	y
WT 13-14 115	Professor Bill Harris	Physiology, Development and Neuroscience	Company of Biologists	Development	Spectrum of Fate: A new approach to the study of developing zebrafish	PM 828577	£2,400.00	11-Mar-14	30-Jun-14	y
WT 13-14 117	Professor Simon Szreter	History	Oxford University Press	Social History of Medicine	The prevalence of Syphilis in England and Wales on the Eve of the Great War: Re-visiting the Estimates of the Royal Commission on Venereal Diseases 1913–1916	JJ 814163	£2,100.00	12-Mar-14	18-Mar-14	y
WT 13-14 118	Dr Helga Schneider	Pathology	American Society for Microbiology	Molecular and Cellular Biology	Rab8 binding to immune specific adaptor LAX facilitates formation of trans golgi network proximal CTLA-4 vessicles for surface expression	PK 815246	£2,160.08	13-Mar-14	01-Apr-14	y
WT 13-14 119 WT 12-13 263	Dr Tereza Cindrova-Davies	Physiology, Development and Neuroscience	Elsevier	Placenta	Expression and immunolocalisation of the endocytic receptors megalin and cubilin in the human yolk sac and placenta across gestation	PM 813671	£2,353.26	16-Sep-13	13-Mar-14	y
WT 13-14 120	Professor Colin Taylor	Pharmacology	Wiley	British Journal of Pharmacology	Interactions of antagonists with subtypes of inositol 1,4,5-trisphosphate (IP3) receptor	PL 814295	£2,166.46	18-Mar-14	18-Mar-14	y
WT 13-14 121	Professor Mike Edwardson	Pharmacology	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Crystal structure and molecular imaging of the Nav channel β subunit indicates a trimeric assembly	PH 819592	£1,071.05	14-Mar-14	07-May-14	y
WT 13-14 122	Dr Claudio Kossler	Medicine	Oxford University Press	Journal of Antimicrobial Chemotherapy	Comment on: Characterization of the embB gene in Mycobacterium tuberculosis isolates from Barcelona and rapid detection of main mutations related to ethambutol resistance using a low-density DNA array	RC 817935	£1,200.00	17-Mar-14	10-Apr-14	y
WT 13-14 123	Dr Charlotte Summers	Medicine	BMJ Publishing Group	Thorax	Pulmonary retention of primed neutrophils: a novel protective host response, which is impaired in the acute respiratory distress syndrome	RC 816058	£2,340.00	17-Mar-14	01-Apr-14	y
WT 13-14 124	Professor Christine Holt	Physiology, Development and Neuroscience	Elsevier	Cell	Remote control of gene function by local translation	PM 835023	£3,556.54	24-Mar-14	31-Jul-14	y
